ApplicationId,Severity,Status,IssueType,IssueTypeId,IssueTypeGuid,Location,FixGroupId,LastFound,LastUpdated,Cve,Cwe,Id
"f980d314-5849-43c2-9d01-89ce4ee0c5d9",High,Open,PrivilegeEscalation,PrivilegeEscalation,"ef08bb38-32e6-e711-a29b-002590ac753d","pygoat-master\Dockerfile:1","000dc85d-06d8-ee11-9f02-14cb65725114","2024-03-01 20:00:39","2024-03-01 20:00:39",,266,"050dc85d-06d8-ee11-9f02-14cb65725114"
"f980d314-5849-43c2-9d01-89ce4ee0c5d9",High,Open,Cryptography.InsecureAlgorithm,Cryptography.InsecureAlgorithm,"7708bb38-32e6-e711-a29b-002590ac753d","pygoat-master\introduction\mitre.py:161","f90cc85d-06d8-ee11-9f02-14cb65725114","2024-03-01 20:00:39","2024-03-01 20:00:39",,327,"170dc85d-06d8-ee11-9f02-14cb65725114"
"f980d314-5849-43c2-9d01-89ce4ee0c5d9",High,Open,Command Injection,Injection.OS,"b308bb38-32e6-e711-a29b-002590ac753d","pygoat-master\introduction\mitre.py:233","ff0cc85d-06d8-ee11-9f02-14cb65725114","2024-03-01 20:00:39","2024-03-01 20:00:39",,78,"1d0dc85d-06d8-ee11-9f02-14cb65725114"
"f980d314-5849-43c2-9d01-89ce4ee0c5d9",High,Open,Command Injection,Injection.OS,"b308bb38-32e6-e711-a29b-002590ac753d","pygoat-master\introduction\mitre.py:233","010dc85d-06d8-ee11-9f02-14cb65725114","2024-03-01 20:00:39","2024-03-01 20:00:39",,78,"200dc85d-06d8-ee11-9f02-14cb65725114"
"f980d314-5849-43c2-9d01-89ce4ee0c5d9",High,Open,Reflected Cross Site Scripting,CrossSiteScripting.Reflected,"9308bb38-32e6-e711-a29b-002590ac753d","pygoat-master\introduction\templates\Lab\XSS\xss_lab_2.html:23","fa0cc85d-06d8-ee11-9f02-14cb65725114","2024-03-01 20:00:39","2024-03-01 20:00:39",,79,"260dc85d-06d8-ee11-9f02-14cb65725114"
"f980d314-5849-43c2-9d01-89ce4ee0c5d9",High,Open,"Improper Control of Dynamically-Managed Code Resources",Malicious.DynamicCode.Construction,"0309bb38-32e6-e711-a29b-002590ac753d","pygoat-master\introduction\views.py:7","fd0cc85d-06d8-ee11-9f02-14cb65725114","2024-03-01 20:00:39","2024-03-01 20:00:39",,913,"2c0dc85d-06d8-ee11-9f02-14cb65725114"
"f980d314-5849-43c2-9d01-89ce4ee0c5d9",High,Open,XML Injection,Injection.XML,"f708bb38-32e6-e711-a29b-002590ac753d","pygoat-master\introduction\views.py:17","fb0cc85d-06d8-ee11-9f02-14cb65725114","2024-03-01 20:00:39","2024-03-01 20:00:39",,91,"2f0dc85d-06d8-ee11-9f02-14cb65725114"
"f980d314-5849-43c2-9d01-89ce4ee0c5d9",High,Open,XML Injection,Injection.XML,"f708bb38-32e6-e711-a29b-002590ac753d","pygoat-master\introduction\views.py:18","fb0cc85d-06d8-ee11-9f02-14cb65725114","2024-03-01 20:00:39","2024-03-01 20:00:39",,91,"320dc85d-06d8-ee11-9f02-14cb65725114"
"f980d314-5849-43c2-9d01-89ce4ee0c5d9",High,Open,XML Injection,Injection.XML,"f708bb38-32e6-e711-a29b-002590ac753d","pygoat-master\introduction\views.py:19","fb0cc85d-06d8-ee11-9f02-14cb65725114","2024-03-01 20:00:39","2024-03-01 20:00:39",,91,"350dc85d-06d8-ee11-9f02-14cb65725114"
"f980d314-5849-43c2-9d01-89ce4ee0c5d9",High,Open,Command Injection,Injection.OS,"b308bb38-32e6-e711-a29b-002590ac753d","pygoat-master\introduction\views.py:423","ff0cc85d-06d8-ee11-9f02-14cb65725114","2024-03-01 20:00:39","2024-03-01 20:00:39",,78,"380dc85d-06d8-ee11-9f02-14cb65725114"
